additional_reference_ids,auprc,auroc,clean_reference_ids,condition,f1_max,fixed_f1,fixed_precision,fixed_recall,fold,memory_bank_size,n_additional_reference_images,n_clean_reference_images,paired_manifest_id,run_dir,sam2_skipped,seed,split_seed
[],0.10152548135619827,0.8183485299015728,"[""049fb17a1.jpg"", ""04bf23eba.jpg""]",clean,0.1907505459901468,0.18095309422514144,0.1270022461402555,0.3145928760350815,0,12800.0,0,2,ff643873549cee9ab182df83a532150cf59cb5b1fd88cacba1755e72160956ef,/home/kalantary/AnomalyDino/AnomalyDINO/results_refbank/phase3/f0_clean_s42,True,42,42
"[""1d34ad26c.jpg"", ""1d83b44be.jpg"", ""751db247d.jpg"", ""7579146ed.jpg"", ""0696cfa05.jpg"", ""06ad83bac.jpg"", ""290e00273.jpg"", ""2930b4f52.jpg""]",0.09505026959358408,0.7968901394934514,"[""049fb17a1.jpg"", ""04bf23eba.jpg""]",contaminated_all,0.19330336049339145,0.07848236265221298,0.08474981181232619,0.07307806666886914,0,64000.0,8,2,ff643873549cee9ab182df83a532150cf59cb5b1fd88cacba1755e72160956ef,/home/kalantary/AnomalyDino/AnomalyDINO/results_refbank/phase3/f0_contaminated_all_s42,True,42,42
"[""1d34ad26c.jpg"", ""1d83b44be.jpg"", ""751db247d.jpg"", ""7579146ed.jpg"", ""0696cfa05.jpg"", ""06ad83bac.jpg"", ""290e00273.jpg"", ""2930b4f52.jpg""]",0.09801814168587047,0.8013512708265079,"[""049fb17a1.jpg"", ""04bf23eba.jpg""]",auto_purified,0.19761876434881345,0.03477127535678113,0.05322468862795999,0.025819465848383027,0,61892.0,8,2,ff643873549cee9ab182df83a532150cf59cb5b1fd88cacba1755e72160956ef,/home/kalantary/AnomalyDino/AnomalyDINO/results_refbank/phase3/f0_auto_purified_s42,True,42,42
"[""1d34ad26c.jpg"", ""1d83b44be.jpg"", ""751db247d.jpg"", ""7579146ed.jpg"", ""0696cfa05.jpg"", ""06ad83bac.jpg"", ""290e00273.jpg"", ""2930b4f52.jpg""]",0.10716397958532262,0.8110451055145877,"[""049fb17a1.jpg"", ""04bf23eba.jpg""]",oracle_purified,0.21234518452690143,0.11963293158612412,0.1219647623701203,0.11738859209480482,0,59621.0,8,2,ff643873549cee9ab182df83a532150cf59cb5b1fd88cacba1755e72160956ef,/home/kalantary/AnomalyDino/AnomalyDINO/results_refbank/phase3/f0_oracle_purified_s42,True,42,42
[],0.12804677318706753,0.8046476535720284,"[""04d527562.jpg"", ""04e15fdc1.jpg""]",clean,0.22855131008412705,0.22670008500248803,0.17785600452992614,0.31252902892300993,0,12800.0,0,2,b82569ffefe2f3306320e1be1c736916996a95d3487b3199b6b16267b0f8b9b2,/home/kalantary/AnomalyDino/AnomalyDINO/results_refbank/phase3/f0_clean_s43,True,43,42
"[""1deada184.jpg"", ""1e75373b2.jpg"", ""776ed4605.jpg"", ""78b5bc846.jpg"", ""06ae96c30.jpg"", ""06aed81ba.jpg"", ""29694dc5d.jpg"", ""29ae2bdc9.jpg""]",0.10845102653591852,0.8130921794200842,"[""04d527562.jpg"", ""04e15fdc1.jpg""]",contaminated_all,0.21094886801953078,0.13417525885331788,0.13069988907029112,0.13784050076471172,0,64000.0,8,2,b82569ffefe2f3306320e1be1c736916996a95d3487b3199b6b16267b0f8b9b2,/home/kalantary/AnomalyDino/AnomalyDINO/results_refbank/phase3/f0_contaminated_all_s43,True,43,42
"[""1deada184.jpg"", ""1e75373b2.jpg"", ""776ed4605.jpg"", ""78b5bc846.jpg"", ""06ae96c30.jpg"", ""06aed81ba.jpg"", ""29694dc5d.jpg"", ""29ae2bdc9.jpg""]",0.11464144204412675,0.8160570396343032,"[""04d527562.jpg"", ""04e15fdc1.jpg""]",auto_purified,0.2174394688832682,0.08804739111515487,0.12098316658456626,0.06920689581458801,0,62140.0,8,2,b82569ffefe2f3306320e1be1c736916996a95d3487b3199b6b16267b0f8b9b2,/home/kalantary/AnomalyDino/AnomalyDINO/results_refbank/phase3/f0_auto_purified_s43,True,43,42
"[""1deada184.jpg"", ""1e75373b2.jpg"", ""776ed4605.jpg"", ""78b5bc846.jpg"", ""06ae96c30.jpg"", ""06aed81ba.jpg"", ""29694dc5d.jpg"", ""29ae2bdc9.jpg""]",0.1186148436090072,0.820862299698502,"[""04d527562.jpg"", ""04e15fdc1.jpg""]",oracle_purified,0.22366971159207447,0.17122899100911518,0.15762434822406382,0.18740392519623067,0,59614.0,8,2,b82569ffefe2f3306320e1be1c736916996a95d3487b3199b6b16267b0f8b9b2,/home/kalantary/AnomalyDino/AnomalyDINO/results_refbank/phase3/f0_oracle_purified_s43,True,43,42
[],0.08769976109689047,0.7448574939792929,"[""050edacec.jpg"", ""05172e316.jpg""]",clean,0.17323601878108874,0.05103758913155554,0.09624789934071616,0.034725879515637235,0,12800.0,0,2,e8a3b3533ead47ffb854db606d2275e1c336163f71d5603aaf6947a7cf842e6f,/home/kalantary/AnomalyDino/AnomalyDINO/results_refbank/phase3/f0_clean_s44,True,44,42
"[""1e95fc3d7.jpg"", ""1eb697fe5.jpg"", ""78c25510b.jpg"", ""7970f0008.jpg"", ""06b384e78.jpg"", ""06b49e34f.jpg"", ""2c8c3cb8a.jpg"", ""2ccef61c3.jpg""]",0.11201340650578116,0.8064954966188478,"[""050edacec.jpg"", ""05172e316.jpg""]",contaminated_all,0.2129660710972352,0.13348322726125075,0.15168724137334003,0.11918036896611366,0,64000.0,8,2,e8a3b3533ead47ffb854db606d2275e1c336163f71d5603aaf6947a7cf842e6f,/home/kalantary/AnomalyDino/AnomalyDINO/results_refbank/phase3/f0_contaminated_all_s44,True,44,42
